,xmin,ymin,xmax,ymax
0,4500,1500,14100,11100
1,2400,8400,12000,18000
2,6600,2400,16200,12000
3,5400,3600,15000,13200
4,3300,7200,12900,16800
5,2100,7800,11700,17400
6,9300,5400,18900,15000
7,3300,6600,12900,16200
8,6300,8100,15900,17700
9,9300,3600,18900,13200
10,7800,3000,17400,12600
11,6000,6600,15600,16200
12,900,7800,10500,17400
13,1200,4200,10800,13800
14,900,8700,10500,18300
15,1500,8700,11100,18300
16,7200,300,16800,9900
17,1200,6600,10800,16200
18,1800,0,11400,9600
19,9300,2100,18900,11700
20,5700,2700,15300,12300
21,9300,6300,18900,15900
22,600,6000,10200,15600
23,4800,5400,14400,15000
24,3600,300,13200,9900
25,1200,3000,10800,12600
26,7800,3900,17400,13500
27,4500,0,14100,9600
28,2400,3300,12000,12900
29,4500,7800,14100,17400
30,2400,7200,12000,16800
31,5100,0,14700,9600
32,6600,300,16200,9900
33,2700,3900,12300,13500
34,7800,7500,17400,17100
35,5700,5400,15300,15000
36,9600,7500,19200,17100
37,9600,7800,19200,17400
38,7800,1800,17400,11400
39,2400,6900,12000,16500
40,3600,4800,13200,14400
41,3000,6000,12600,15600
42,2700,3000,12300,12600
43,1800,4800,11400,14400
44,6600,1500,16200,11100
45,1800,5100,11400,14700
46,5700,7200,15300,16800
47,5400,2100,15000,11700
48,300,8400,9900,18000
49,1200,1200,10800,10800
50,5100,3000,14700,12600
51,1800,9000,11400,18600
52,5400,9600,15000,19200
53,6000,7800,15600,17400
54,7800,3900,17400,13500
55,6900,7800,16500,17400
56,6600,2700,16200,12300
57,3000,5400,12600,15000
58,2400,6900,12000,16500
59,7800,600,17400,10200
60,8100,1200,17700,10800
61,9600,9600,19200,19200
62,4800,3300,14400,12900
63,6300,7800,15900,17400
64,8700,9600,18300,19200
65,4800,7500,14400,17100
66,1800,9300,11400,18900
67,3000,6900,12600,16500
68,5100,5700,14700,15300
69,4500,1500,14100,11100
70,9000,9300,18600,18900
71,3900,8100,13500,17700
72,7800,900,17400,10500
73,6000,6000,15600,15600
74,6600,8100,16200,17700
